Countries ,Life expectancy (both sexes),Female life expectancy ,Male life expectancy 
Afghanistan,64.23,67.44,61.2
Albania,78.06,80.54,75.83
Algeria,77.34,78.67,76.05
Angola,63.24,65.77,60.72
Antigua and Barbuda,79.42,81.8,76.71
Argentina,77.98,81.26,74.62
Armenia,76.23,80.36,71.16
Aruba,76.9,79.62,73.95
Australia,83.73,85.56,81.89
Austria,82.57,84.72,80.35
Azerbaijan,73.62,76.39,70.67
Bahamas,74.49,77.97,70.89
Bahrain,80.69,81.92,79.68
Bangladesh,73.98,76.31,71.78
Barbados,77.86,79.74,75.83
Belarus,75.03,79.98,69.81
Belgium,82.46,84.5,80.36
Belize,74.62,77.89,71.7
Benin,60.45,62.16,58.77
Bhutan,72.49,74.45,70.8
Bolivia,68.78,71.46,66.2
Bosnia and Herzegovina,76.18,78.3,74.05
Botswana,66.05,68.56,63.45
Brazil,76.18,79.26,73.07
Brunei ,74.54,76.78,72.49
Bulgaria,72.84,76.37,69.55
Burkina Faso,60.57,62.39,58.67
Burundi,62.5,64.45,60.54
Cabo Verde,76.93,80.9,72.57
Cambodia,71.46,73.75,69.09
Cameroon,61.92,63.47,60.39
Canada,83.02,84.94,81.07
Central African Republic,55.48,57.68,53.38
Chad,53.68,55.41,52.01
Chile,81.16,83.41,78.84
China,78.79,81.52,76.18
Colombia,77.51,80.4,74.61
Comoros,65.04,67.35,62.91
Congo,63.26,64.86,61.69
Costa Rica,80.26,82.66,77.92
Côte d'Ivoire,60.11,61.46,58.86
Croatia,79.4,82.14,76.61
Cuba,78.33,80.73,75.97
Curaçao,76.82,80.42,72.88
Cyprus,82.05,83.81,80.26
Czech Republic (Czechia),79.82,82.58,77.02
Denmark,82.03,83.92,80.14
Djibouti,63.71,66.3,61.23
Dominican Republic,74.36,77.72,71.24
DR Congo,60.63,62.78,58.54
Ecuador,78.08,80.65,75.51
Egypt,70.81,73.22,68.48
El Salvador,73.38,77.55,68.88
Equatorial Guinea,61.97,64.02,60.23
Eritrea,67.32,69.4,65.17
Estonia,79.31,83.11,75.2
Eswatini,57.71,61.86,53.98
Ethiopia,66.65,69.75,63.73
Fiji,68.45,70.41,66.58
Finland,82.52,85,80.01
France,83.35,86.08,80.5
French Guiana,77.63,80.48,74.94
French Polynesia,83.7,86.1,81.49
Gabon,66.17,68.76,63.87
Gambia,64.12,65.63,62.62
Georgia,72.43,77.24,67.56
Germany,82.18,84.44,79.9
Ghana,64.53,66.72,62.37
Greece,82,84.44,79.58
Grenada,75.49,78.45,72.74
Guadeloupe,83.34,86.43,79.68
Guam,78.52,82.2,75.06
Guatemala,70.15,73.09,67.26
Guinea,59.55,60.83,58.18
Guinea-Bissau,60.56,62.62,58.38
Guyana,69.8,73.33,66.36
Haiti,64.75,67.82,61.81
Honduras,73.47,76.02,71.03
Hong Kong,85.83,88.66,83
Hungary,77.09,80.27,73.76
Iceland,82.96,84.41,81.55
India,72.03,73.65,70.52
Indonesia,71.1,73.27,68.96
Iran,76.97,79.84,74.28
Iraq,72.05,74.03,69.92
Ireland,82.88,84.54,81.21
Israel,83.39,85.1,81.59
Italy,84.2,86.13,82.15
Jamaica,72.37,74.6,70.14
Japan,84.95,87.97,81.91
Jordan,75.02,77.46,72.91
Kazakhstan,70.36,73.9,66.58
Kenya,63.34,65.83,60.95
Kiribati,67.83,69.59,65.88
Kuwait,80.45,82.91,79.09
Kyrgyzstan,71.16,75.5,66.88
Laos,69.27,71.46,67.19
Latvia,76.06,80.2,71.66
Lebanon,76.07,78.09,73.97
Lesotho,54.91,57.82,52.12
Liberia,62.04,63.34,60.73
Libya,73.25,76.54,70.23
Lithuania,76.85,81.16,72.35
Luxembourg,82.75,84.89,80.64
Macao,85.51,88.11,82.88
Madagascar,66.43,68.84,64.14
Malawi,63.67,67.15,60.24
Malaysia,76.42,78.96,74.11
Maldives,81.07,82.06,80.3
Mali,60.03,61.41,58.7
Malta,83.85,85.83,81.81
Martinique,83.45,86.09,80.44
Mauritania,65.48,67.33,63.64
Mauritius,75.69,78.73,72.77
Mayotte,78.01,81.46,74.73
Mexico,75.04,78.36,71.76
Micronesia,72.91,75.97,70
Micronesia,71.32,75.18,67.72
Moldova,69.51,74.21,65.05
Mongolia,72.94,77.62,68.36
Montenegro,77.78,80.82,74.61
Morocco,75.2,77.41,73.11
Mozambique,62.37,65.15,59.48
Myanmar,67.46,70.69,64.38
Namibia,59.53,63.13,55.98
Nepal,70.78,72.68,68.87
Netherlands,82.58,84.02,81.1
New Caledonia,81.18,84.74,77.76
New Zealand,83.16,84.84,81.43
Nicaragua,74.8,77.74,71.8
Niger,62.93,64.26,61.65
Nigeria,53.87,54.24,53.51
North Korea,73.71,76.3,71.1
North Macedonia,75.26,77.47,73.1
Norway,83.55,85.17,81.91
Oman,78.97,80.77,77.45
Pakistan,67.34,69.74,65.08
Panama,78.56,81.59,75.62
Papua New Guinea,66.12,69.34,63.51
Paraguay,74.1,76.96,71.37
Peru,76.96,79.26,74.69
Philippines,72.3,74.32,70.3
Poland,78.6,82.26,74.89
Portugal,82.42,85.06,79.53
Puerto Rico,79.94,84.04,75.83
Qatar,81.73,83.25,80.81
Réunion,82.78,85.52,79.95
Romania,75.14,78.6,71.73
Russia,74.57,79.29,69.52
Rwanda,67.35,69.49,65.02
Saint Lucia,74.12,77.68,70.74
Samoa,72.75,75.5,70.29
Sao Tome & Principe,68.89,72.04,66.13
Saudi Arabia,78.1,79.73,76.87
Senegal,69.31,71.75,66.71
Serbia,75.21,78.02,72.3
Seychelles,75,79.36,71.31
Sierra Leone,60.79,62.11,59.46
Singapore,84.27,86.42,82.13
Slovakia,78.36,81.59,75.04
Slovenia,82.31,84.75,79.86
Solomon Islands,70.86,72.51,69.38
Somalia,57.35,59.47,55.32
South Africa,62.89,65.69,59.85
South Korea,84.14,87.23,80.83
South Sudan,56.51,57.97,54.99
Spain,84.05,86.68,81.35
Sri Lanka,76.8,80.39,73.06
St. Vincent & Grenadines,70.28,73.08,67.92
State of Palestine,74.28,76.67,71.91
Sudan,66.1,68.7,63.57
Suriname,72.79,76.25,69.42
Sweden,83.65,85.22,82.08
Switzerland,84.38,86.05,82.63
Syria,72.45,76.27,68.82
Taiwan,81.47,84.68,78.36
Tajikistan,71.43,73.69,69.3
Tanzania,67.6,69.8,65.46
Thailand,79.91,84.08,75.75
Timor-Leste,69.31,71.1,67.67
Togo,61.82,62.49,61.14
Tonga,71.41,74.29,68.69
Trinidad and Tobago,74.87,78.31,71.48
Tunisia,76.94,80.18,73.86
Turkey,78.68,81.67,75.62
Turkmenistan,69.54,73.07,66.04
U.S. Virgin Islands,76,81.69,70.72
Uganda,63.84,65.93,61.68
Ukraine,73.02,78.08,67.74
United Arab Emirates,80.46,82.57,79.02
United Kingdom,82.31,83.97,80.61
United States,79.74,82.23,77.27
Uruguay,78.16,81.82,74.34
Uzbekistan,71.78,74.43,69.12
Vanuatu,70.69,73.28,68.48
Venezuela,72.89,77.25,68.76
Vietnam,74.74,79.42,70.12
Western Sahara,71.19,73.34,69.51
Yemen,64.52,68.08,61.23
Zambia,62.96,65.67,60.19
Zimbabwe,61.92,64.32,59.18
